locus_tag	ftype	length_bp	gene	EC_number	COG	product
ANC_00001	CDS	108				hypothetical protein
ANC_00002	CDS	219	yiiE			putative transcriptional regulator
ANC_00003	CDS	243				hypothetical protein
ANC_00004	CDS	183				hypothetical protein
ANC_00005	CDS	930	fdhE			formate dehydrogenase formation protein
ANC_00006	CDS	636	fdoI			formate dehydrogenase-O, gamma subunit
ANC_00007	CDS	903	fdoH			formate dehydrogenase-O, beta subunit
ANC_00008	CDS	2415	fdoG_1	1.2.1.2		formate dehydrogenase-O, alpha subunit
ANC_00009	CDS	588	fdoG_2	1.2.1.2		formate dehydrogenase-O, alpha subunit
ANC_00010	CDS	834	fdhD			affects formate dehydrogenase-N
ANC_00011	CDS	1056				hypothetical protein
ANC_00012	CDS	1749	frvR			FrvR predicted transcriptional regulator
ANC_00013	CDS	1071	frvX			frv operon protein
ANC_00014	CDS	1452	frvB	2.7.1.69		PTS permease - unknown specificity
ANC_00015	CDS	447	frvA			PTS permease - unknown specificity
ANC_00016	CDS	1395				hypothetical protein
ANC_00017	CDS	315	rhaM	5.1.3		L-rhamnose mutarotase
ANC_00018	CDS	825	rhaD	4.1.2.19		rhamnulose-1-phosphate aldolase monomer
ANC_00019	CDS	1260	rhaA	5.3.1.14		L-rhamnose isomerase
ANC_00020	CDS	1470	rhaB	2.7.1.5		L-rhamnulose kinase
ANC_00021	CDS	837	rhaS			RhaS-L-rhamnose DNA-binding transcriptional activator
ANC_00022	CDS	939	rhaR_1			RhaR transcriptional activator
ANC_00023	CDS	1035	rhaT			rhamnose / lyxose:H+ symporter
ANC_00024	CDS	621	sodA	1.15.1.1		superoxide dismutase (Mn)
ANC_00025	CDS	984	kdgT			2-dehydro-3-deoxy-D-gluconate:H+ symporter
ANC_00026	CDS	675	yiiM			protein involved in base analog detoxification
ANC_00027	CDS	1374	cpxA	2.7.13.3		Sensor histidine kinase CpxA
ANC_00028	CDS	699	yedW_1			putative DNA-binding response regulator in two-component system with YedV
ANC_00029	CDS	501	cpxP			regulator of the Cpx response and possible chaperone involved in resistance to extracytoplasmic stress
ANC_00030	CDS	903	fieF			Zn2+ / Fe2+ / Cd2+ efflux transporter FieF
ANC_00031	CDS	105				hypothetical protein
ANC_00032	CDS	963	pfkA	2.7.1.11		6-phosphofructokinase-1 monomer
ANC_00033	CDS	990	sbp			sulfate / thiosulfate ABC transporter - periplasmic binding protein Sbp
ANC_00034	CDS	435	cdh_1	3.6.1.26		CDP-diglyceride hydrolase / CDP-diacylglycerol pyrophosphatase
ANC_00035	CDS	309	cdh_2	3.6.1.26		CDP-diglyceride hydrolase / CDP-diacylglycerol pyrophosphatase
ANC_00036	CDS	768	tpiA	5.3.1.1		triose phosphate isomerase monomer
ANC_00037	CDS	600				hypothetical protein
ANC_00038	CDS	441				hypothetical protein
ANC_00039	CDS	300				hypothetical protein
ANC_00040	CDS	429	uspD			stress protein involved in resistance to UV irradiation
ANC_00041	CDS	747	fpr	1.18.1.2		flavodoxin NADP+ reductase
ANC_00042	CDS	1011	glpX	3.1.3.11		fructose 1,6-bisphosphatase II
ANC_00043	CDS	1509	glpK	2.7.1.30		glycerol kinase
ANC_00044	CDS	846	glpF			glycerol channel GlpF
ANC_00045	CDS	240	zapB			cell division factor ZapB
ANC_00046	CDS	486	rraA			ribonuclease E inhibitor protein
ANC_00047	CDS	927	menA			1,4-dihydroxy-2-naphthoate octaprenyltransferase
