# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ANC_00001	GENE_ANC_00001	TRANSCRIPT_ANC_00001	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ANC_00002	GENE_ANC_00002	TRANSCRIPT_ANC_00002	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
ANC_00003	GENE_ANC_00003	TRANSCRIPT_ANC_00003	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ANC_00004	GENE_ANC_00004	TRANSCRIPT_ANC_00004	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ANC_00005	GENE_ANC_00005	TRANSCRIPT_ANC_00005	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ANC_00006	GENE_ANC_00006	TRANSCRIPT_ANC_00006	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ANC_00007	GENE_ANC_00007	TRANSCRIPT_ANC_00007	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ANC_00008	GENE_ANC_00008	TRANSCRIPT_ANC_00008	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ANC_00025	GENE_ANC_00025	TRANSCRIPT_ANC_00025	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00026	GENE_ANC_00026	TRANSCRIPT_ANC_00026	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANC_00027	GENE_ANC_00027	TRANSCRIPT_ANC_00027	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANC_00028	GENE_ANC_00028	TRANSCRIPT_ANC_00028	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ANC_00029	GENE_ANC_00029	TRANSCRIPT_ANC_00029	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
